Day,Month,Year,Time,Digit1,Digit2,Digit3,Digit4,Digit5,Digit6,Digit7,Digit8,Digit9,Digit10
19,1,2021,3,3,6,10,17,19,22,26,27,31,35
20,1,2021,3,7,14,17,19,22,26,28,32,40,47
21,1,2021,3,4,6,11,14,22,23,24,27,31,39
22,1,2021,3,2,5,12,15,16,19,25,28,31,32
23,1,2021,3,2,3,5,8,12,17,23,25,27,29
24,1,2021,3,13,14,17,21,26,29,31,32,36,40
25,1,2021,3,2,6,7,13,27,29,30,42,45,57
27,1,2021,3,2,5,7,10,16,18,20,21,26,27
28,1,2021,3,1,6,7,9,12,20,22,24,36,45
29,1,2021,3,11,13,18,19,33,34,35,39,40,45
30,1,2021,3,6,10,14,19,24,28,32,38,43,45
31,1,2021,3,11,24,31,34,37,41,42,43,47,52
1,2,2021,3,2,6,11,14,15,17,18,21,25,26
2,2,2021,3,3,6,10,11,12,14,17,27,32,37
3,2,2021,3,3,4,6,8,14,22,25,31,37,46
4,2,2021,3,13,17,18,19,28,29,39,41,45,51
5,2,2021,3,2,5,15,20,24,27,31,33,36,38
6,2,2021,3,1,4,6,8,12,14,15,26,35,38
7,2,2021,3,1,7,13,14,15,16,21,22,23,28
8,2,2021,3,2,4,5,18,24,25,28,32,33,34
9,2,2021,3,1,2,16,17,20,21,22,26,28,34
10,2,2021,3,2,5,8,9,14,17,19,21,22,24
11,2,2021,3,6,8,15,16,23,27,30,35,41,47
12,2,2021,3,6,9,18,23,25,26,28,32,39,43
13,2,2021,3,1,2,3,11,12,23,30,32,35,37
14,2,2021,3,4,6,8,11,15,19,21,22,25,26
15,2,2021,3,5,6,13,15,19,21,43,44,48,51
16,2,2021,3,2,6,8,23,25,29,34,38,41,42
17,2,2021,3,2,4,7,10,12,14,21,24,30,38
18,2,2021,3,3,7,16,17,18,20,28,32,38,39
19,2,2021,3,3,14,18,27,30,33,35,38,41,43
20,2,2021,3,5,6,8,9,12,13,16,21,25,33
21,2,2021,3,2,4,5,13,16,18,24,25,32,40
22,2,2021,3,7,12,16,19,26,29,34,47,48,49
23,2,2021,3,1,6,10,12,14,20,23,28,31,32
24,2,2021,3,15,18,21,22,23,27,30,34,41,46
25,2,2021,3,1,2,4,18,25,26,28,30,35,40
26,2,2021,3,2,3,11,14,15,23,28,29,31,32
27,2,2021,3,2,3,9,13,15,19,21,23,34,38
28,2,2021,3,15,17,22,26,37,38,44,46,55,57
1,3,2021,3,2,9,13,16,17,25,30,31,34,35
2,3,2021,3,2,4,10,15,16,17,22,23,28,29
3,3,2021,3,2,9,13,16,18,23,24,28,29,39
4,3,2021,3,5,6,19,22,26,29,34,35,39,42
5,3,2021,3,1,2,3,4,8,14,17,19,23,26
6,3,2021,3,1,2,7,11,12,18,19,28,32,37
7,3,2021,3,5,7,9,26,27,28,36,37,42,43
8,3,2021,3,1,2,6,9,10,24,29,30,33,42
9,3,2021,3,1,18,19,20,24,26,30,41,42,43
10,3,2021,3,8,9,11,14,15,16,17,18,27,30
11,3,2021,3,2,7,10,17,20,22,30,31,34,41
12,3,2021,3,3,5,6,20,28,30,45,47,49,51
13,3,2021,3,5,6,9,14,15,21,25,35,40,42
14,3,2021,3,2,3,10,11,21,30,36,40,41,42
15,3,2021,3,4,10,11,12,13,19,21,22,26,29
16,3,2021,3,1,5,10,15,16,22,37,40,48,55
17,3,2021,3,1,8,12,14,15,19,25,30,33,35
18,3,2021,3,2,4,8,10,11,14,17,29,30,37
19,3,2021,3,4,6,12,13,17,24,28,31,37,40
20,3,2021,3,3,10,13,15,16,21,23,29,30,44
21,3,2021,3,5,6,7,8,19,20,24,30,31,32
22,3,2021,3,1,5,6,8,14,22,23,24,28,29
23,3,2021,3,2,4,5,6,16,21,27,28,36,38
24,3,2021,3,4,5,6,7,11,13,15,16,24,26
25,3,2021,3,11,13,17,18,19,22,26,28,32,39
26,3,2021,3,1,3,6,7,11,33,37,41,43,44
27,3,2021,3,1,5,10,12,15,19,21,23,24,25
28,3,2021,3,1,7,11,14,16,24,28,43,44,45
29,3,2021,3,1,8,9,12,15,18,25,30,32,36
30,3,2021,3,2,6,9,14,17,25,29,34,43,46
31,3,2021,3,5,9,10,11,22,25,26,33,35,36
